site,treatment,plot,tree,year,Earlywood_Radius_mm,Earlywood_cumulative_radius_mm,Earlywood_BAI_mmsq,Earlywood_cumulative_BAI,Earlywood_cumularive_BAI_ha_m2,Latewood_radius_mm,Latewood_cumulative_radius,Latewood_BAI,Latewood_cumulative_BAI,Latewood_cumulative_BAI_ha_m2,Totalwood_radius_mm,Totalwood_cumulative_radius_mm,Totalwood_BAI,Totalwood_cumulative_BAI,Totalwood_cumulative_BAI_ha_m2
Elkhorn,control,5,17,1988,0.3185,0.3185,0.318528665,0.318528665,535.1281572,0.0715,0.0715,0.016052465,0.016052465,26.9681412,0,0,0,0,0
Elkhorn,control,5,17,1989,0.224,0.5425,0.15755264,0.924121625,1552.52433,0.0585,0.13,0.010745865,0.053066,89.15088,0.39,0.39,0.477594,0.477594,802.35792
Elkhorn,control,5,17,1990,0.1965,0.739,0.121242465,1.71481994,2880.897499,0.081,0.211,0.02060154,0.13979594,234.8571792,0.2825,0.6725,0.250591625,1.420084625,2385.74217
Elkhorn,control,5,17,1991,0.55,1.289,0.94985,5.21717594,8764.855579,0.1055,0.3165,0.034948985,0.314540865,528.4286532,0.2775,0.95,0.241799625,2.83385,4760.868
Elkhorn,control,5,17,1992,0.2485,1.5375,0.193902065,7.422665625,12470.07825,0.052,0.3685,0.00849056,0.426387665,716.3312772,0.6555,1.6055,1.349195985,8.093758985,13597.51509
Elkhorn,control,5,17,1993,0.2845,1.822,0.254152385,10.42380776,17511.99704,0.0845,0.453,0.022420385,0.64435626,1082.518517,0.3005,1.906,0.283542785,11.40710504,19163.93647
Elkhorn,control,5,17,1994,0.32,2.142,0.321536,14.40683496,24203.48273,0.1205,0.5735,0.045593585,1.032753065,1735.025149,0.369,2.275,0.42754554,16.2514625,27302.457
Elkhorn,control,5,17,1995,0.3495,2.4915,0.383551785,19.49177687,32746.18514,0.164,0.7375,0.08445344,1.707865625,2869.21425,0.4405,2.7155,0.609286385,23.15417239,38899.00962
Elkhorn,control,5,17,1996,0.3605,2.852,0.408075185,25.54045856,42907.97038,0.1535,0.891,0.073985465,2.49278634,4187.881051,0.5125,3.228,0.824740625,32.71874976,54967.4996
Elkhorn,control,5,17,1997,0.2545,3.1065,0.203378585,30.30207467,50907.48545,0.0875,0.9785,0.024040625,3.006431465,5050.804861,0.514,3.742,0.82957544,43.96805096,73866.32561
Elkhorn,control,5,17,1998,0.1785,3.285,0.100047465,33.8844465,56925.87012,0.0295,1.008,0.002732585,3.19044096,5359.940813,0.3415,4.0835,0.366193865,52.35941287,87963.81362
Elkhorn,control,5,17,1999,0.0795,3.3645,0.019845585,35.54436119,59714.5268,0.0415,1.0495,0.005407865,3.458553785,5810.370359,0.2075,4.291,0.135196625,57.81581834,97130.57481
Elkhorn,control,5,17,2000,0.1055,3.47,0.034948985,37.808426,63518.15568,0.0505,1.1,0.008007785,3.7994,6382.992,0.121,4.412,0.04597274,61.12243616,102685.6927
Elkhorn,control,5,17,2001,0.1135,3.5835,0.040450265,40.32222287,67741.33442,0.0245,1.1245,0.001884785,3.970530785,6670.491719,0.156,4.568,0.07641504,65.52119936,110075.6149
Elkhorn,control,5,17,2002,0.1175,3.701,0.043351625,43.00983914,72256.52976,0.0475,1.172,0.007084625,4.31305376,7245.930317,0.138,4.706,0.05979816,69.53980904,116826.8792
Elkhorn,control,5,17,2003,0.121,3.822,0.04597274,45.86812776,77058.45464,0.0205,1.1925,0.001319585,4.465256625,7501.63113,0.165,4.871,0.0854865,74.50165274,125162.7766
Elkhorn,control,5,17,2004,0.095,3.917,0.0283385,48.17667146,80936.80805,0.035,1.2275,0.0038465,4.731214625,7948.44057,0.1405,5.0115,0.061984385,78.86151527,132487.3457
Elkhorn,control,5,17,2005,0.1065,4.0235,0.035614665,50.83205407,85397.85084,0.055,1.2825,0.0094985,5.164691625,8676.68193,0.129,5.1405,0.05225274,82.97368439,139395.7898
Elkhorn,control,5,17,2006,0.1425,4.166,0.063761625,54.49644584,91554.02901,0.0485,1.331,0.007386065,5.56270154,9345.338587,0.1615,5.302,0.081898265,88.26918056,148292.2233
Elkhorn,control,5,17,2007,0.088,4.254,0.02431616,56.82306024,95462.7412,0.0045,1.3355,6.36E-05,5.600379185,9408.637031,0.1905,5.4925,0.113951385,94.72612663,159139.8927
Elkhorn,control,5,17,2008,0.056,4.31,0.00984704,58.328954,97992.64272,0.0185,1.354,0.001074665,5.75661224,9671.108563,0.092,5.5845,0.02657696,97.92605039,164515.7647
Elkhorn,control,8,1,1988,0.136,0.136,0.05807744,0.05807744,97.5700992,0.0115,0.0115,0.000415265,0.000415265,0.6976452,0,0,0,0,0
Elkhorn,control,8,1,1989,0.1425,0.2785,0.063761625,0.243545465,409.1563812,0.0135,0.025,0.000572265,0.0019625,3.297,0.147,0.147,0.06785226,0.06785226,113.9917968
Elkhorn,control,8,1,1990,0.1915,0.47,0.115150865,0.693626,1165.29168,0.019,0.044,0.00113354,0.00607904,10.2127872,0.156,0.303,0.07641504,0.28828026,484.3108368
Elkhorn,control,8,1,1991,0.215,0.685,0.1451465,1.4733665,2475.25572,0.0505,0.0945,0.008007785,0.028040985,47.1088548,0.2105,0.5135,0.139134185,0.827962265,1390.976605
Elkhorn,control,8,1,1992,0.3555,1.0405,0.396833985,3.399490385,5711.143847,0.0535,0.148,0.008987465,0.06877856,115.5479808,0.2645,0.778,0.219675185,1.90059176,3192.994157
Elkhorn,control,8,1,1993,0.3345,1.375,0.351335385,5.9365625,9973.425,0.059,0.207,0.01093034,0.13454586,226.0370448,0.4085,1.1865,0.523978865,4.420436265,7426.332925
Elkhorn,control,8,1,1994,0.296,1.671,0.27511424,8.76763674,14729.62972,0.103,0.31,0.03331226,0.301754,506.94672,0.3935,1.58,0.486204665,7.838696,13169.00928
Elkhorn,control,8,1,1995,0.3515,2.0225,0.387954065,12.84418963,21578.23858,0.0655,0.3755,0.013471385,0.442740785,743.8045188,0.3985,1.9785,0.498639065,12.29141147,20649.57127
Elkhorn,control,8,1,1996,0.295,2.3175,0.2732585,16.86433163,28332.07714,0.0785,0.454,0.019349465,0.64720424,1087.303123,0.4165,2.395,0.544702865,18.0111185,30258.67908
Elkhorn,control,8,1,1997,0.315,2.6325,0.3115665,21.76037663,36557.43274,0.0735,0.5275,0.016963065,0.873724625,1467.85737,0.373,2.768,0.43686506,24.05812736,40417.65396
Elkhorn,control,8,1,1998,0.226,2.8585,0.16037864,25.65700987,43103.77658,0.083,0.6105,0.02163146,1.170310185,1966.121111,0.388,3.156,0.47270816,31.27545504,52542.76447
Elkhorn,control,8,1,1999,0.2435,3.102,0.186177665,30.21434856,50760.10558,0.092,0.7025,0.02657696,1.549609625,2603.34417,0.3085,3.4645,0.298840865,37.68866719,63316.96088
Elkhorn,control,8,1,2000,0.158,3.26,0.07838696,33.370664,56062.71552,0.0405,0.743,0.005150385,1.73343386,2912.168885,0.3355,3.8,0.353439185,45.3416,76173.888
Elkhorn,control,8,1,2001,0.1985,3.4585,0.123723065,37.55823787,63097.83962,0.0295,0.7725,0.002732585,1.873814625,3148.00857,0.1985,3.9985,0.123723065,50.20232707,84339.90948
Elkhorn,control,8,1,2002,0.219,3.6775,0.15059754,42.46537963,71341.83778,0.0405,0.813,0.005150385,2.07544266,3486.743669,0.228,4.2265,0.16322976,56.09076907,94232.49204
Elkhorn,control,8,1,2003,0.229,3.9065,0.16466474,47.91873067,80503.46753,0.042,0.855,0.00553896,2.2954185,3856.30308,0.2595,4.486,0.211448385,63.18997544,106159.1587
Elkhorn,control,8,1,2004,0.31,4.2165,0.301754,55.82565887,93787.1069,0.06,0.915,0.011304,2.6288865,4416.52932,0.271,4.757,0.23060474,71.05521386,119372.7593
Elkhorn,control,8,1,2005,0.302,4.5185,0.28638056,64.10888467,107702.9262,0.074,0.989,0.01719464,3.07129994,5159.783899,0.37,5.127,0.429866,82.53844506,138664.5877
Elkhorn,control,8,1,2006,0.208,4.7265,0.13584896,70.14697907,117846.9248,0.0715,1.0605,0.016052465,3.531433185,5932.807751,0.375,5.502,0.4415625,95.05409256,159690.8755
Elkhorn,control,8,1,2007,0.237,4.9635,0.17637066,77.35808327,129961.5799,0.0565,1.117,0.010023665,3.91774346,6581.809013,0.279,5.781,0.24442074,104.9386775,176296.9782
Elkhorn,control,8,1,2008,0.109,5.0725,0.03730634,80.79300463,135732.2478,0,1.117,0,3.91774346,6581.809013,0.293,6.074,0.26956586,115.8455146,194620.4645
Elkhorn,control,8,3,1988,0.1715,0.1715,0.092354465,0.092354465,155.1555012,0.0215,0.0215,0.001451465,0.001451465,2.4384612,0,0,0,0,0
Elkhorn,control,8,3,1989,0.193,0.3645,0.11696186,0.417181185,700.8643908,0.0305,0.052,0.002920985,0.00849056,14.2641408,0.1925,0.1925,0.116356625,0.116356625,195.47913
Elkhorn,control,8,3,1990,0.2195,0.584,0.151285985,1.07091584,1799.138611,0.0605,0.1125,0.011493185,0.039740625,66.76425,0.2235,0.416,0.156850065,0.54339584,912.9050112
Elkhorn,control,8,3,1991,0.346,0.93,0.37590824,2.715786,4562.52048,0.08,0.1925,0.020096,0.116356625,195.47913,0.28,0.696,0.246176,1.52106624,2555.391283
Elkhorn,control,8,3,1992,0.3895,1.3195,0.476370185,5.466991985,9184.546535,0.0915,0.284,0.026288865,0.25325984,425.4765312,0.426,1.122,0.56983464,3.95289576,6640.864877
Elkhorn,control,8,3,1993,0.4495,1.769,0.634437785,9.82619354,16508.00515,0.0705,0.3545,0.015606585,0.394604585,662.9357028,0.4805,1.6025,0.724963985,8.063539625,13546.74657
Elkhorn,control,8,3,1994,0.3615,2.1305,0.410342265,14.25255499,23944.29238,0.0985,0.453,0.030465065,0.64435626,1082.518517,0.52,2.1225,0.849056,14.14571963,23764.80898
Elkhorn,control,8,3,1995,0.312,2.4425,0.30566016,18.73263163,31470.82114,0.086,0.539,0.02322344,0.91223594,1532.556379,0.46,2.5825,0.664424,20.94162163,35181.92434
Elkhorn,control,8,3,1996,0.2495,2.692,0.195465785,22.75515296,38228.65697,0.0965,0.6355,0.029240465,1.268121185,2130.443591,0.398,2.9805,0.49738856,27.89381399,46861.6075
Elkhorn,control,8,3,1997,0.3035,2.9955,0.289232465,28.17528359,47334.47643,0.05,0.6855,0.00785,1.475518185,2478.870551,0.346,3.3265,0.37590824,34.74599107,58373.265
Elkhorn,control,8,3,1998,0.199,3.1945,0.12434714,32.04316699,53832.52054,0.0675,0.753,0.014306625,1.78040826,2991.085877,0.3535,3.68,0.392381465,42.523136,71438.86848
Elkhorn,control,8,3,1999,0.207,3.4015,0.13454586,36.33043507,61035.13092,0.0705,0.8235,0.015606585,2.129398065,3577.388749,0.266,3.946,0.22217384,48.89267624,82139.69608
Elkhorn,control,8,3,2000,0.1915,3.593,0.115150865,40.53629786,68100.9804,0.104,0.9275,0.03396224,2.701204625,4538.02377,0.2775,4.2235,0.241799625,56.01117007,94098.76572
Elkhorn,control,8,3,2001,0.2385,3.8315,0.178610265,46.09643167,77442.00521,0.0435,0.971,0.005941665,2.96052074,4973.674843,0.2955,4.519,0.274185585,64.12307354,107726.7635
Elkhorn,control,8,3,2002,0.166,3.9975,0.08652584,50.17721963,84297.72898,0.071,1.042,0.01582874,3.40929896,5727.622253,0.2815,4.8005,0.248820665,72.36067279,121565.9303
Elkhorn,control,8,3,2003,0.166,4.1635,0.08652584,54.43105927,91444.17957,0.059,1.101,0.01093034,3.80631114,6394.602715,0.237,5.0375,0.17637066,79.68191563,133865.6183
Elkhorn,control,8,3,2004,0.201,4.3645,0.12685914,59.81342119,100486.5476,0.066,1.167,0.01367784,4.27633146,7184.236853,0.225,5.2625,0.1589625,86.95886563,146090.8943
Elkhorn,control,8,3,2005,0.1675,4.532,0.088096625,64.49253536,108347.4594,0.0785,1.2455,0.019349465,4.870988585,8183.260823,0.2665,5.529,0.223009865,95.98930074,161262.0252
